"Save to disk","Sauvegarder sur le disque",,"src/main/java/controller/WaypViewController.java:1229
src/main/java/controller/WaypViewController.java:1255",
"Use GPSDump to download waypoints","Utiliser GPSDump pour décharger les waypoints",,"src/main/java/controller/WaypViewController.java:1257
src/main/java/controller/WaypViewController.java:1598",
"sent to GPS","envoyés au GPS",,"src/main/java/controller/WaypViewController.java:1279
src/main/java/controller/WaypViewController.java:1300",
"Check GPS content","Vérifier le contenu du GPS",,"src/main/java/controller/WaypViewController.java:1288
src/main/java/controller/WaypViewController.java:1308",
"Could not translate the points","Une erreur est survenue pendant la préparation des points",,"src/main/java/controller/WaypViewController.java:1655
src/main/java/controller/WaypViewController.java:1699
src/main/java/controller/WaypViewController.java:1746",
Altitude,Altitude,,"src/main/java/controller/WaypViewController.java:1779
src/main/java/controller/CarnetViewController.java:718
src/main/java/controller/SitesViewController.java:333
src/main/java/controller/SitesViewController.java:595
src/main/java/controller/ManualViewController.java:552
src/main/java/littlewins/winPoint.java:66
src/main/java/photos/exifReader.java:196",
"An error occurred during the map generation","Une erreur est survenue pendant la génération de la carte",,"src/main/java/controller/WaypViewController.java:1805
src/main/java/controller/TraceViewController.java:223
src/main/java/controller/CarnetViewController.java:1674
src/main/java/controller/GPSViewController.java:1384
src/main/java/controller/ImportViewController.java:375
src/main/java/controller/SitesViewController.java:607
src/main/java/controller/SitesViewController.java:618",
Default,"Par défaut",,src/main/java/littlewins/winSearchCities.java:85,
"New file","Nouveau fichier",,"src/main/java/controller/WaypViewController.java:1823
src/main/java/controller/WaypViewController.java:1849",
"Geolocation problem","Problème de geolocalisation",,src/main/java/controller/SiteFormController.java:753,
"Read file","Lire fichier",,src/main/java/controller/WaypViewController.java:2033,
"Read GPS","Lire GPS",,src/main/java/controller/WaypViewController.java:2034,
"Auto short names","Noms courts auto",,src/main/java/controller/WaypViewController.java:2036,
New,Nouveau,,"src/main/java/controller/WaypViewController.java:2035
src/main/java/controller/WaypViewController.java:2037
src/main/java/littlewins/winSiteChoice.java:100",
"Write file","Ecrire fichier",,src/main/java/controller/WaypViewController.java:2038,
"Send to GPS","Envoi vers GPS",,"src/main/java/controller/WaypViewController.java:907
src/main/java/controller/WaypViewController.java:963
src/main/java/controller/WaypViewController.java:1051
src/main/java/controller/WaypViewController.java:2039",
Email,Mail,,src/main/java/controller/WaypViewController.java:2040,
Turnpoint,Balise,,src/main/java/controller/WaypViewController.java:2041,
Alt,Alt,,"src/main/java/controller/WaypViewController.java:2042
src/main/java/controller/SitesViewController.java:906
src/main/java/littlewins/winCsv.java:301
src/main/java/littlewins/winSiteChoice.java:124",
Name,Nom,,"src/main/java/controller/WaypViewController.java:2043
src/main/java/controller/SiteFormController.java:1103
src/main/java/controller/SitesViewController.java:903
src/main/java/littlewins/winAirDraw.java:81",
points,points,,"src/main/java/controller/TraceViewController.java:128
src/main/java/controller/TraceViewController.java:180",
"Invalid Track","Trace invalide",,"src/main/java/controller/TraceViewController.java:145
src/main/java/controller/TraceViewController.java:230
src/main/java/controller/GPSViewController.java:1398
src/main/java/controller/ImportViewController.java:261
src/main/java/controller/ImportViewController.java:322",
"Rough Points","Points bruts",,"src/main/java/controller/TraceViewController.java:145
src/main/java/controller/TraceViewController.java:230
src/main/java/controller/GPSViewController.java:1398
src/main/java/controller/ImportViewController.java:322",
"valid points","points valides",,"src/main/java/controller/TraceViewController.java:146
src/main/java/controller/TraceViewController.java:231
src/main/java/controller/GPSViewController.java:1399
src/main/java/controller/ImportViewController.java:323",
"Try Cartography option","Essayer l'option Cartographie",,"src/main/java/controller/TraceViewController.java:147
src/main/java/controller/TraceViewController.java:152",
"No valid points in this track file","Aucun points valide dans ce fichier trace",,"src/main/java/controller/TraceViewController.java:151
src/main/java/controller/TraceViewController.java:234
src/main/java/controller/GPSViewController.java:1402
src/main/java/controller/ImportViewController.java:326",
"Bad download URL","Mauvaise url de téléchargement",,src/main/java/controller/TraceViewController.java:314,
"Could not download track","Problème de chargement de la trace",,"src/main/java/controller/TraceViewController.java:319
src/main/java/controller/CarnetViewController.java:1770",
"Generating KML file","Génération fichier Kml",,src/main/java/controller/TraceViewController.java:422,
"File generation completed","Génération du fichier terminée",,"src/main/java/controller/TraceViewController.java:480
src/main/java/controller/CarnetViewController.java:2218",
"Track file","Fichier trace",,src/main/java/controller/TraceViewController.java:549,
"Points list","Liste points",,"src/main/java/controller/TraceViewController.java:557
src/main/java/controller/CarnetViewController.java:980",
Export,Exporter,,"src/main/java/controller/TraceViewController.java:566
src/main/java/controller/CarnetViewController.java:896
src/main/java/controller/CarnetViewController.java:989
src/main/java/controller/SitesViewController.java:684
src/main/java/controller/SitesViewController.java:847
src/main/java/littlewins/winCsv.java:100",
"Send via e-mail","Envoi par mail",,"src/main/java/controller/TraceViewController.java:578
src/main/java/controller/KmlViewController.java:349
src/main/java/littlewins/winMail.java:331",
"Select a track","Sélectionner une trace",,"src/main/java/controller/TraceViewController.java:634
src/main/java/littlewins/winFileChoose.java:102
src/main/java/littlewins/winFileChoose.java:110",
"Full screen map","Carte plein écran",,"src/main/java/controller/TraceViewController.java:639
src/main/java/controller/CarnetViewController.java:2239
src/main/java/controller/SitesViewController.java:915",
"VisuGPS display","Affichage VisuGPS",,src/main/java/controller/TraceViewController.java:645,
"Google Earth file generation","Génération fichier Google Earth",,"src/main/java/controller/TraceViewController.java:657
src/main/java/controller/CarnetViewController.java:2257",
Points,Points,,"src/main/java/controller/KmlViewController.java:236
src/main/java/leaflet/map_visu.java:807",
"Reduce the number of points","Réduction du nombre de points",,src/main/java/controller/KmlViewController.java:340,
"Track with profile","Trace avec profil",,"src/main/java/controller/KmlViewController.java:341
src/main/java/kml/trackSimple.java:57",
"Colored track by altitude","Trace colorée par altitude",,src/main/java/controller/KmlViewController.java:342,
"Colored track by climb","Trace colorée par vario",,src/main/java/controller/KmlViewController.java:343,
"Colored track by speed","Trace colorée par vitesse",,src/main/java/controller/KmlViewController.java:344,
Thermals,Thermiques,,"src/main/java/controller/KmlViewController.java:346
src/main/java/leaflet/map_visu.java:917
src/main/java/kml/trackThermal.java:99",
Replay,Replay,,src/main/java/controller/KmlViewController.java:347,
"Export Google Earth file","Exporter le fichier Google Earth",,src/main/java/controller/KmlViewController.java:348,
"Run Google Earth","Lancer Google Earth",,src/main/java/controller/KmlViewController.java:350,
"Sampling points","Echantillonnage de points",,src/main/java/controller/KmlViewController.java:351,
